OID_,CID,Temp2019,Temp21
514,1,22.2700005,23.4899998
515,1,22.6000004,19.6499996
516,1,18.5300007,19.2199993
517,1,20.8400002,18.8299999
518,1,22.1900005,26.4300003
519,1,16.7600002,18.2099991
520,1,17.0000000,18.6599998
521,1,17.6200008,19.0900002
522,1,21.3899994,23.8899994
523,1,19.1900005,19.9599991
524,1,16.7399998,18.6599998
525,1,17.5300007,20.1700001
526,1,17.4099998,19.0699997
527,1,22.0400009,21.1499996
528,1,17.9899998,19.1399994
529,1,17.8600006,18.6700001
530,1,18.0300007,18.9599991
531,1,17.6599998,18.6200008
532,1,20.1299992,22.0400009
533,1,18.1700001,19.3600006
534,1,16.9500008,18.1499996
535,1,16.8899994,18.1299992
536,1,21.0100002,28.1700001
537,1,17.6599998,19.8299999
538,1,18.0799999,20.6900005
539,1,17.2299995,18.2000008
540,1,19.0599995,23.3299999
541,1,18.2700005,19.6700001
542,1,17.1800003,17.7000008
543,1,17.5200005,19.1299992
544,1,17.9200001,18.9099998
545,1,18.0599995,19.9099998
546,1,17.2999992,18.7500000
547,1,18.3099995,20.0599995
548,1,19.2500000,22.1200008
549,1,18.6399994,20.4599991
550,1,19.2600002,20.7999992
551,1,18.2199993,19.2199993
552,1,18.1299992,19.3600006
553,1,18.1100006,19.2299995
554,1,21.2199993,23.2299995
555,1,17.1700001,18.2299995
556,1,17.3500004,18.1499996
557,1,16.8400002,18.3400002
558,1,17.6700001,20.4400005
559,1,17.4500008,18.1499996
560,1,19.0400009,21.3799992
561,1,17.9300003,19.8199997
562,1,17.7900009,19.0300007
563,1,18.7099991,21.4300003
564,1,25.1599998,27.5499992
565,1,18.2500000,20.0499992
566,1,18.6299992,20.7500000
567,1,16.9599991,19.5000000
568,1,18.2900009,18.1800003
569,1,17.6299992,19.5100002
570,1,16.9400005,18.4899998
571,1,19.5900002,23.3700008
572,1,22.7500000,25.9799995
573,1,17.7900009,19.3600006
574,1,17.8899994,18.4500008
575,1,18.2900009,20.7999992
576,1,17.3500004,19.4300003
577,1,24.1200008,25.6499996
578,1,18.4500008,19.1100006
579,1,16.4500008,17.5599995
580,1,17.0400009,17.2399998
581,1,16.9899998,17.2099991
582,1,20.1700001,17.9500008
583,1,25.8500004,18.6900005
584,1,17.0599995,17.0400009
585,1,22.3600006,17.8500004
