OID_,CID,temp09,temp19,temp09c
395,1,176,16.5900002,17.6000004
396,1,175,16.4200001,17.5000000
397,1,180,17.9899998,18.0000000
398,1,178,18.2199993,17.7999992
399,1,175,15.5799999,17.5000000
400,1,174,16.3600006,17.3999996
401,1,173,16.0000000,17.2999992
402,1,175,15.3800001,17.5000000
403,1,175,15.9399996,17.5000000
404,1,176,19.0599995,17.6000004
405,1,174,17.2299995,17.3999996
406,1,178,22.6800003,17.7999992
407,1,172,16.0100002,17.2000008
408,1,175,19.4300003,17.5000000
409,1,201,16.2099991,20.1000004
410,1,171,21.7000008,17.1000004
411,1,194,16.4099998,19.3999996
412,1,173,23.5300007,17.2999992
413,1,175,18.6900005,17.5000000
414,1,221,22.9799995,22.1000004
415,1,180,17.6299992,18.0000000
416,1,194,16.5200005,19.3999996
417,1,175,20.1599998,17.5000000
418,1,172,24.1399994,17.2000008
419,1,174,26.9599991,17.3999996
420,1,174,23.9799995,17.3999996
421,1,173,17.3299999,17.2999992
422,1,172,21.4200001,17.2000008
423,1,191,16.6499996,19.1000004
424,1,173,22.0400009,17.2999992
425,1,172,23.3099995,17.2000008
426,1,173,22.8600006,17.2999992
427,1,173,24.4099998,17.2999992
428,1,173,22.1299992,17.2999992
429,1,174,22.6200008,17.3999996
430,1,173,16.7299995,17.2999992
431,1,235,18.3299999,23.5000000
432,1,178,18.1399994,17.7999992
433,1,172,20.3600006,17.2000008
434,1,173,20.4899998,17.2999992
435,1,176,23.7299995,17.6000004
436,1,208,17.2500000,20.7999992
437,1,214,16.7800007,21.3999996
438,1,173,18.3799992,17.2999992
439,1,172,19.0300007,17.2000008
440,1,175,20.5000000,17.5000000
441,1,177,18.6000004,17.7000008
442,1,176,17.3799992,17.6000004
443,1,172,26.7500000,17.2000008
444,1,172,16.9599991,17.2000008
445,1,177,17.5900002,17.7000008
446,1,174,25.3199997,17.3999996
447,1,172,20.6800003,17.2000008
448,1,185,29.3600006,18.5000000
449,1,174,28.5100002,17.3999996
450,1,171,22.2199993,17.1000004
451,1,172,16.2299995,17.2000008
452,1,172,17.1599998,17.2000008
453,1,175,16.6200008,17.5000000
454,1,173,26.2199993,17.2999992
455,1,173,20.4200001,17.2999992
456,1,201,17.5900002,20.1000004
457,1,175,26.3199997,17.5000000
458,1,173,17.8099995,17.2999992
459,1,173,22.2399998,17.2999992
460,1,173,17.7500000,17.2999992
461,1,185,18.0100002,18.5000000
462,1,177,21.8999996,17.7000008
463,1,176,22.1399994,17.6000004
464,1,177,28.0599995,17.7000008
465,1,178,19.0000000,17.7999992
466,1,177,25.8999996,17.7000008
