point_id,year,dist_m,C_2009,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
127,2019,880,18.4328003,1,0,14.15,826,0.325,28.9
128,2019,886,18.4881363,1,0,14.15,826,0.325,28.9
129,2019,888,18.4696922,1,0,14.15,826,0.325,28.9
130,2019,890,18.4328003,1,0,14.15,826,0.325,28.9
131,2019,892,18.5342503,1,0,14.15,826,0.325,28.9
132,2019,894,18.3497944,1,0,14.15,826,0.325,28.9
133,2019,896,18.2852364,1,0,14.15,826,0.325,28.9
134,2019,898,18.3866863,1,0,14.15,826,0.325,28.9
135,2019,908,18.9308281,1,0,14.15,826,0.325,28.9
136,2019,910,19.7147598,1,0,14.15,826,0.325,28.9
137,2019,918,19.3827438,1,0,14.15,826,0.325,28.9
138,2019,930,18.7279282,1,0,14.15,826,0.325,28.9
139,2019,932,18.6449223,1,0,14.15,826,0.325,28.9
140,2019,934,18.7187042,1,0,14.15,826,0.325,28.9
141,2019,936,18.7187042,1,0,14.15,826,0.325,28.9
142,2019,938,18.6725922,1,0,14.15,826,0.325,28.9
143,2019,940,18.8478241,1,0,14.15,826,0.325,28.9
144,2019,942,18.8201561,1,0,14.15,826,0.325,28.9
145,2019,944,18.9308281,1,0,14.15,826,0.325,28.9
146,2019,776,19.2167339,1,0,14.15,826,0.325,28.9
147,2019,778,19.0230541,1,0,14.15,826,0.325,28.9
148,2019,780,19.078392,1,0,14.15,826,0.325,28.9
149,2019,782,18.8201561,1,0,14.15,826,0.325,28.9
150,2019,784,18.912384,1,0,14.15,826,0.325,28.9
151,2019,786,18.8017101,1,0,14.15,826,0.325,28.9
152,2019,798,18.3682404,1,0,14.15,826,0.325,28.9
153,2019,800,18.5526943,1,0,14.15,826,0.325,28.9
154,2019,802,18.4051304,1,0,14.15,826,0.325,28.9
155,2019,804,18.4051304,1,0,14.15,826,0.325,28.9
156,2019,806,18.4235764,1,0,14.15,826,0.325,28.9
157,2019,808,18.2022305,1,0,14.15,826,0.325,28.9
158,2019,810,18.5065823,1,0,14.15,826,0.325,28.9
159,2019,812,18.4973583,1,0,14.15,826,0.325,28.9
160,2019,814,18.3959084,1,0,14.15,826,0.325,28.9
161,2019,816,18.4328003,1,0,14.15,826,0.325,28.9
162,2019,818,18.4881363,1,0,14.15,826,0.325,28.9
163,2019,638,18.7555962,1,0,14.15,826,0.325,28.9
164,2019,640,18.6818142,1,0,14.15,826,0.325,28.9
165,2019,642,18.7187042,1,0,14.15,826,0.325,28.9
166,2019,644,18.6633682,1,0,14.15,826,0.325,28.9
167,2019,646,18.7002602,1,0,14.15,826,0.325,28.9
168,2019,650,18.6541462,1,0,14.15,826,0.325,28.9
