OID_,CID,temp2019,temp2021,temp2019_1,temp2021_1
167,1,16.5200005,18.0799999,16.5200005,18.0799999
168,1,18.8299999,18.8199997,18.8299999,18.8199997
169,1,16.8500004,17.5100002,16.8500004,17.5100002
170,1,16.8700008,18.0799999,16.8700008,18.0799999
171,1,16.3999996,18.3999996,16.3999996,18.3999996
172,1,17.0499992,18.1200008,17.0499992,18.1200008
173,1,30.4899998,28.7000008,30.4899998,28.7000008
174,1,16.0300007,17.5900002,16.0300007,17.5900002
175,1,16.4099998,17.6200008,16.4099998,17.6200008
176,1,16.1299992,18.5900002,16.1299992,18.5900002
177,1,17.0400009,18.2099991,17.0400009,18.2099991
178,1,16.0699997,18.2099991,16.0699997,18.2099991
179,1,17.6800003,18.5100002,17.6800003,18.5100002
180,1,16.8099995,18.5799999,16.8099995,18.5799999
181,1,16.3899994,17.8400002,16.3899994,17.8400002
182,1,16.7900009,17.6700001,16.7900009,17.6700001
183,1,19.0599995,20.0799999,19.0599995,20.0799999
184,1,17.0200005,18.5000000,17.0200005,18.5000000
185,1,22.3400002,24.4300003,22.3400002,24.4300003
186,1,16.9200001,17.3799992,16.9200001,17.3799992
187,1,16.8600006,18.0799999,16.8600006,18.0799999
188,1,16.3199997,17.9200001,16.3199997,17.9200001
189,1,24.6499996,23.4400005,24.6499996,23.4400005
190,1,16.5400009,17.8600006,16.5400009,17.8600006
191,1,19.4099998,18.9200001,19.4099998,18.9200001
192,1,16.7900009,18.0300007,16.7900009,18.0300007
193,1,16.6100006,17.9899998,16.6100006,17.9899998
194,1,21.5799999,20.3799992,21.5799999,20.3799992
195,1,16.9799995,17.5100002,16.9799995,17.5100002
196,1,17.1100006,17.6800003,17.1100006,17.6800003
197,1,16.3999996,18.2999992,16.3999996,18.2999992
198,1,16.7399998,17.7500000,16.7399998,17.7500000
199,1,18.2700005,20.8799992,18.2700005,20.8799992
200,1,21.1200008,22.5100002,21.1200008,22.5100002
201,1,16.7800007,17.7000008,16.7800007,17.7000008
202,1,18.2299995,18.1000004,18.2299995,18.1000004
203,1,16.1599998,17.5100002,16.1599998,17.5100002
204,1,18.5200005,18.0200005,18.5200005,18.0200005
205,1,17.1100006,18.1399994,17.1100006,18.1399994
206,1,17.3500004,17.2500000,17.3500004,17.2500000
207,1,17.2900009,17.4500008,17.2900009,17.4500008
208,1,16.1800003,17.4799995,16.1800003,17.4799995
209,1,16.0599995,17.5300007,16.0599995,17.5300007
210,1,16.3999996,17.7399998,16.3999996,17.7399998
211,1,16.9300003,18.4300003,16.9300003,18.4300003
212,1,16.1599998,17.7600002,16.1599998,17.7600002
213,1,16.3299999,17.2500000,16.3299999,17.2500000
214,1,16.3099995,16.9099998,16.3099995,16.9099998
215,1,16.2099991,17.1499996,16.2099991,17.1499996
216,1,16.1299992,17.2600002,16.1299992,17.2600002
217,1,16.2800007,17.7399998,16.2800007,17.7399998
218,1,16.3999996,17.4400005,16.3999996,17.4400005
219,1,16.6599998,17.3899994,16.6599998,17.3899994
220,1,17.5499992,19.0599995,17.5499992,19.0599995
221,1,17.1499996,17.0799999,17.1499996,17.0799999
222,1,17.7600002,17.4799995,17.7600002,17.4799995
223,1,16.1100006,17.2999992,16.1100006,17.2999992
224,1,16.2900009,17.1200008,16.2900009,17.1200008
225,1,16.9500008,17.5400009,16.9500008,17.5400009
226,1,18.0900002,17.3299999,18.0900002,17.3299999
227,1,16.5699997,16.8999996,16.5699997,16.8999996
228,1,16.4300003,17.6000004,16.4300003,17.6000004
229,1,16.0000000,17.3999996,16.0000000,17.3999996
230,1,16.5000000,17.7199993,16.5000000,17.7199993
231,1,16.6100006,17.5900002,16.6100006,17.5900002
232,1,16.2500000,17.0699997,16.2500000,17.0699997
233,1,19.2399998,18.9099998,19.2399998,18.9099998
234,1,16.4599991,16.8299999,16.4599991,16.8299999
235,1,21.4699993,20.5400009,21.4699993,20.5400009
236,1,16.6299992,17.5100002,16.6299992,17.5100002
237,1,17.4599991,18.5200005,17.4599991,18.5200005
238,1,16.1700001,17.3700008,16.1700001,17.3700008
239,1,17.6299992,18.3700008,17.6299992,18.3700008
240,1,16.4500008,17.2999992,16.4500008,17.2999992
241,1,16.7500000,17.8500004,16.7500000,17.8500004
242,1,16.4099998,17.5300007,16.4099998,17.5300007
243,1,15.9799995,17.1399994,15.9799995,17.1399994
244,1,18.8500004,16.7700005,18.8500004,16.7700005
245,1,18.2299995,18.9599991,18.2299995,18.9599991
246,1,16.0599995,17.2399998,16.0599995,17.2399998
247,1,18.2500000,18.2900009,18.2500000,18.2900009
248,1,17.7999992,18.4400005,17.7999992,18.4400005
249,1,15.8199997,17.2000008,15.8199997,17.2000008
250,1,16.2199993,17.3799992,16.2199993,17.3799992
251,1,16.1700001,16.9699993,16.1700001,16.9699993
252,1,16.5200005,17.5200005,16.5200005,17.5200005
253,1,15.9600000,16.9699993,15.9600000,16.9699993
254,1,17.2999992,17.7399998,17.2999992,17.7399998
255,1,15.8800001,16.8899994,15.8800001,16.8899994
256,1,19.0499992,18.4799995,19.0499992,18.4799995
257,1,18.7399998,18.5499992,18.7399998,18.5499992
258,1,18.9099998,18.6200008,18.9099998,18.6200008
259,1,20.8400002,23.9699993,20.8400002,23.9699993
260,1,17.4899998,17.1399994,17.4899998,17.1399994
261,1,18.0100002,19.8199997,18.0100002,19.8199997
262,1,17.8700008,19.8999996,17.8700008,19.8999996
263,1,17.6700001,18.6499996,17.6700001,18.6499996
264,1,17.8799992,19.7800007,17.8799992,19.7800007
265,1,17.3099995,18.8400002,17.3099995,18.8400002
266,1,21.3700008,23.1900005,21.3700008,23.1900005
267,1,31.6800003,31.7600002,31.6800003,31.7600002
268,1,18.1599998,19.5499992,18.1599998,19.5499992
269,1,20.4300003,20.0900002,20.4300003,20.0900002
270,1,22.5000000,21.4799995,22.5000000,21.4799995
271,1,18.9500008,21.3700008,18.9500008,21.3700008
272,1,17.9899998,21.6000004,17.9899998,21.6000004
273,1,20.7900009,22.5200005,20.7900009,22.5200005
274,1,32.3899994,18.3700008,32.3899994,18.3700008
275,1,19.6399994,19.8700008,19.6399994,19.8700008
276,1,20.2700005,19.3799992,20.2700005,19.3799992
277,1,17.8899994,20.1700001,17.8899994,20.1700001
278,1,18.4099998,19.5200005,18.4099998,19.5200005
279,1,18.3400002,22.0400009,18.3400002,22.0400009
280,1,18.9200001,22.2000008,18.9200001,22.2000008
281,1,26.4899998,30.6399994,26.4899998,30.6399994
282,1,19.1599998,19.5599995,19.1599998,19.5599995
283,1,30.6299992,23.9899998,30.6299992,23.9899998
284,1,19.2999992,20.2600002,19.2999992,20.2600002
285,1,22.7099991,29.8600006,22.7099991,29.8600006
286,1,22.5100002,18.7299995,22.5100002,18.7299995
287,1,17.5300007,19.6700001,17.5300007,19.6700001
288,1,26.0400009,25.8600006,26.0400009,25.8600006
289,1,33.2799988,25.0100002,33.2799988,25.0100002
290,1,20.4599991,19.3099995,20.4599991,19.3099995
291,1,21.7900009,20.1200008,21.7900009,20.1200008
292,1,17.1100006,18.5900002,17.1100006,18.5900002
293,1,23.8500004,18.8999996,23.8500004,18.8999996
294,1,24.7999992,27.0000000,24.7999992,27.0000000
