OID_,dist_m,POINT_X,POINT_Y,tir_cs,dist_up,tir_cor_adj_filt,year,restored,fire,temp_at_release,discharge,canopy_cov,air_temp_C
137,812,556841.984799999743700,4889937.766599999740720,-0.0464261,284,16.4499989,2009,0,0,15.1,511,0.717,26.7
138,814,556840.012299999594688,4889937.926400000229478,0.0166074,282,16.5499992,2009,0,0,15.1,511,0.717,26.7
139,816,556838.018799999728799,4889937.764799999073148,-0.030016,280,16.4499989,2009,0,0,15.1,511,0.717,26.7
140,818,556836.025399999693036,4889937.603199999779463,-0.0435478,278,16.4499989,2009,0,0,15.1,511,0.717,26.7
141,638,557013.585500000044703,4889914.788000000640750,-0.0409857,458,16.4499989,2009,0,0,15.1,511,0.717,26.7
142,640,557011.602300000376999,4889915.046399999409914,-0.0866835,456,16.3499985,2009,0,0,15.1,511,0.717,26.7
143,642,557009.631699999794364,4889915.385500000789762,-0.0343159,454,16.5499992,2009,0,0,15.1,511,0.717,26.7
144,644,557007.664599999785423,4889915.746799999848008,0.015713,452,16.5499992,2009,0,0,15.1,511,0.717,26.7
145,646,557005.697599999606609,4889916.108200000599027,-0.0066128,450,16.5499992,2009,0,0,15.1,511,0.717,26.7
146,650,557001.763399999588728,4889916.831000000238419,-0.0278659,446,16.4499989,2009,0,0,15.1,511,0.717,26.7
147,654,556997.829199999570847,4889917.553799999877810,-0.0464261,442,16.4499989,2009,0,0,15.1,511,0.717,26.7
148,656,556995.862200000323355,4889917.915200000628829,-0.0662193,440,16.4499989,2009,0,0,15.1,511,0.717,26.7
149,658,556993.895100000314415,4889918.276599999517202,-0.0499228,438,16.4499989,2009,0,0,15.1,511,0.717,26.7
150,660,556991.917700000107288,4889918.278100000694394,-0.0464261,436,16.4499989,2009,0,0,15.1,511,0.717,26.7
151,662,556989.933100000023842,4889918.029999999329448,-0.0641497,434,16.4499989,2009,0,0,15.1,511,0.717,26.7
152,664,556987.948599999770522,4889917.781999999657273,-0.0072658,432,16.5499992,2009,0,0,15.1,511,0.717,26.7
153,672,556980.010400000028312,4889916.789699999615550,-0.1206426,424,16.3499985,2009,0,0,15.1,511,0.717,26.7
154,674,556978.025799999944866,4889916.541600000113249,-0.033721,422,16.4499989,2009,0,0,15.1,511,0.717,26.7
155,676,556976.041100000031292,4889916.640100000426173,-0.0075261,420,16.5499992,2009,0,0,15.1,511,0.717,26.7
156,678,556974.056400000117719,4889916.887000000104308,-0.04268,418,16.4499989,2009,0,0,15.1,511,0.717,26.7
1,150,557324.731900000013411,4889648.983999999240041,-0.9150096,946,17.8978806,2019,1,0,14.15,826,0.311,28.9
2,152,557322.789099999703467,4889648.514399999752641,-0.907137,944,17.9071026,2019,1,0,14.15,826,0.311,28.9
3,154,557320.968399999663234,4889647.686799999326468,-0.6960939,942,18.1837845,2019,1,0,14.15,826,0.311,28.9
4,156,557319.147699999623001,4889646.859200000762939,-0.9064683,940,17.9163265,2019,1,0,14.15,826,0.311,28.9
5,158,557317.326899999752641,4889646.031600000336766,-0.9449326,938,17.8609886,2019,1,0,14.15,826,0.311,28.9
6,160,557315.406700000166893,4889645.614700000733137,-0.9082293,936,17.8978806,2019,1,0,14.15,826,0.311,28.9
